BioCLIP1,,,,,,,,,,,,,,,
TRUE,Araneae,Blattodea,Coleoptera,Diptera,Hemiptera,Hymenoptera,Ixodida,Lepidoptera,Mecoptera,Neuroptera,Orthoptera,Plecoptera,Raphidioptera,Trichoptera,<other>
Araneae,94.3,0,1.4,0.2,1.6,1.4,0.4,0,0,0,0,0,0,0,0.7
Blattodea,0,34.8,21.7,0,8.7,0,0,8.7,0,4.3,8.7,0,0,8.7,4.3
Coleoptera,0.1,0,61.2,14.9,10.8,3.2,0.8,0.3,0,0.1,0.3,0,0,0,8.2
Diptera,1.2,0,12.6,74.3,6.5,1.2,0.2,0.3,0,0.2,0.2,0,0,0.2,3.1
Hemiptera,1.8,0,12.6,40.6,30.5,1.5,0.1,1.4,0,0,0.6,0,0,0.1,10.6
Hymenoptera,1.7,0.4,21,3.9,10.8,52.6,0,1.3,0.2,0.1,0.2,0.4,0,0.7,6.8
Ixodida,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepidoptera,0.1,0,0.6,0.6,1.9,0.2,0,94.4,0,0.2,0,0,0,1.3,0.7
Mecoptera,0,0,2.9,38.2,23.5,2.9,0,0,8.8,5.9,5.9,0,0,8.8,2.9
Neuroptera,0,0.9,7,46.1,19.1,0,0,4.3,0,7,0.9,0,0,1.7,13
Orthoptera,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Plecoptera,0,0,0,1.9,9.3,0,0,0,0,0,0,77.8,3.7,1.9,5.6
Raphidioptera,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
Trichoptera,0,0,2.4,0,0,0,0,0,0,0,0,0,0,97.6,0