,coef,std_err,z,p_value,odds_ratio,or_ci_lower,or_ci_upper
const,-1.220,0.028,-43.844,0.000,0.295,0.280,0.312
colorfulness,-1.202,0.049,-24.410,0.000,0.300,0.273,0.331
day_night_twilight_twilight,0.9750,0.159,6.116,0.000,2.651,1.940,3.623
saturation_mean,0.9123,0.038,23.845,0.000,2.490,2.310,2.684
dynamic_range,0.5596,0.035,16.073,0.000,1.750,1.635,1.874
width_px,-0.530,0.017,-30.898,0.000,0.589,0.569,0.609
edge_density,-0.450,0.022,-20.327,0.000,0.638,0.611,0.666
brightness_mean,0.397,0.026,15.146,0.000,1.488,1.413,1.566
day_night_twilight_night,-0.181,0.032,-5.606,0.000,0.835,0.784,0.889
overexposed_pct,0.168,0.017,10.007,0.000,1.183,1.144,1.222
site_Weissfluhjoch,0.131,0.034,3.827,0.000,1.140,1.066,1.218
shadow,0.130,0.017,7.875,0.000,1.139,1.103,1.177
blur_score,0.061,0.021,2.977,0.003,1.063,1.021,1.107
altitude,-0.055,0.014,-3.978,0.000,0.946,0.921,0.972
underexposed_pct,-0.044,0.021,-2.107,0.035,0.957,0.919,0.997
site_Monstein,-0.014,0.035,-0.395,0.693,0.986,0.921,1.056
distinct_hues,-0.013,0.025,-0.532,0.595,0.987,0.939,1.036
blur,0.005,0.013,0.415,0.678,1.005,0.980,1.031