method,fold,class,precision,recall,f1,support,trained_in_lora
frozen_linear_probe,0,Araneae,1.0,0.9681,0.9838,188,True
frozen_linear_probe,0,Blattodea,1.0,0.875,0.9333,8,False
frozen_linear_probe,0,Coleoptera,0.8973,0.7795,0.8343,381,True
frozen_linear_probe,0,Diptera,0.9742,0.9929,0.9834,10638,True
frozen_linear_probe,0,Hemiptera,0.8783,0.6434,0.7427,258,True
frozen_linear_probe,0,Hymenoptera,0.9457,0.9107,0.9279,1109,True
frozen_linear_probe,0,Ixodida,0.0,0.0,0.0,0,False
frozen_linear_probe,0,Lepidoptera,0.9896,0.9811,0.9853,581,True
frozen_linear_probe,0,Mecoptera,0.4,0.1667,0.2353,12,False
frozen_linear_probe,0,Neuroptera,0.85,0.4474,0.5862,38,True
frozen_linear_probe,0,Orthoptera,1.0,1.0,1.0,3,False
frozen_linear_probe,0,Plecoptera,1.0,0.8333,0.9091,18,True
frozen_linear_probe,0,Raphidioptera,0.0,0.0,0.0,0,False
frozen_linear_probe,0,Trichoptera,1.0,0.8571,0.9231,28,True
lora_linear_probe,0,Araneae,0.9894,0.9894,0.9894,188,True
lora_linear_probe,0,Blattodea,1.0,0.75,0.8571,8,False
lora_linear_probe,0,Coleoptera,0.928,0.8793,0.903,381,True
lora_linear_probe,0,Diptera,0.9866,0.9927,0.9896,10638,True
lora_linear_probe,0,Hemiptera,0.8889,0.8682,0.8784,258,True
lora_linear_probe,0,Hymenoptera,0.9578,0.9423,0.95,1109,True
lora_linear_probe,0,Ixodida,0.0,0.0,0.0,0,False
lora_linear_probe,0,Lepidoptera,0.9931,0.988,0.9905,581,True
lora_linear_probe,0,Mecoptera,0.0,0.0,0.0,12,False
lora_linear_probe,0,Neuroptera,0.8065,0.6579,0.7246,38,True
lora_linear_probe,0,Orthoptera,1.0,1.0,1.0,3,False
lora_linear_probe,0,Plecoptera,0.9375,0.8333,0.8824,18,True
lora_linear_probe,0,Raphidioptera,0.0,0.0,0.0,0,False
lora_linear_probe,0,Trichoptera,0.8485,1.0,0.918,28,True
frozen_linear_probe,1,Araneae,1.0,0.9628,0.981,188,True
frozen_linear_probe,1,Blattodea,1.0,0.75,0.8571,8,False
frozen_linear_probe,1,Coleoptera,0.8997,0.706,0.7912,381,True
frozen_linear_probe,1,Diptera,0.9728,0.991,0.9818,10638,True
frozen_linear_probe,1,Hemiptera,0.8636,0.6602,0.7484,259,True
frozen_linear_probe,1,Hymenoptera,0.9312,0.9161,0.9236,1108,True
frozen_linear_probe,1,Ixodida,0.0,0.0,0.0,0,False
frozen_linear_probe,1,Lepidoptera,0.993,0.9811,0.987,581,True
frozen_linear_probe,1,Mecoptera,1.0,0.0909,0.1667,11,False
frozen_linear_probe,1,Neuroptera,0.8261,0.5,0.623,38,True
frozen_linear_probe,1,Orthoptera,1.0,1.0,1.0,2,False
frozen_linear_probe,1,Plecoptera,0.8947,0.9444,0.9189,18,True
frozen_linear_probe,1,Raphidioptera,0.0,0.0,0.0,0,False
frozen_linear_probe,1,Trichoptera,0.871,0.931,0.9,29,True
lora_linear_probe,1,Araneae,1.0,0.984,0.992,188,True
lora_linear_probe,1,Blattodea,0.7143,0.625,0.6667,8,False
lora_linear_probe,1,Coleoptera,0.9059,0.8845,0.8951,381,True
lora_linear_probe,1,Diptera,0.9888,0.9914,0.9901,10638,True
lora_linear_probe,1,Hemiptera,0.9048,0.8803,0.8924,259,True
lora_linear_probe,1,Hymenoptera,0.9503,0.9495,0.9499,1108,True
lora_linear_probe,1,Ixodida,0.0,0.0,0.0,0,False
lora_linear_probe,1,Lepidoptera,0.9914,0.9914,0.9914,581,True
lora_linear_probe,1,Mecoptera,0.0,0.0,0.0,11,False
lora_linear_probe,1,Neuroptera,0.6757,0.6579,0.6667,38,True
lora_linear_probe,1,Orthoptera,1.0,1.0,1.0,2,False
lora_linear_probe,1,Plecoptera,0.8421,0.8889,0.8649,18,True
lora_linear_probe,1,Raphidioptera,0.0,0.0,0.0,0,False
lora_linear_probe,1,Trichoptera,0.8438,0.931,0.8852,29,True
frozen_linear_probe,2,Araneae,0.9947,0.9894,0.992,188,True
frozen_linear_probe,2,Blattodea,1.0,0.8571,0.9231,7,False
frozen_linear_probe,2,Coleoptera,0.9015,0.7927,0.8436,381,True
frozen_linear_probe,2,Diptera,0.9737,0.9923,0.9829,10637,True
frozen_linear_probe,2,Hemiptera,0.8385,0.624,0.7156,258,True
frozen_linear_probe,2,Hymenoptera,0.9436,0.9053,0.9241,1109,True
frozen_linear_probe,2,Ixodida,0.0,0.0,0.0,0,False
frozen_linear_probe,2,Lepidoptera,0.9861,0.9759,0.981,582,True
frozen_linear_probe,2,Mecoptera,1.0,0.1818,0.3077,11,False
frozen_linear_probe,2,Neuroptera,0.6316,0.3077,0.4138,39,True
frozen_linear_probe,2,Orthoptera,1.0,1.0,1.0,3,False
frozen_linear_probe,2,Plecoptera,0.9412,0.8889,0.9143,18,True
frozen_linear_probe,2,Raphidioptera,0.0,0.0,0.0,0,False
frozen_linear_probe,2,Trichoptera,0.95,0.6786,0.7917,28,True
lora_linear_probe,2,Araneae,0.9895,1.0,0.9947,188,True
lora_linear_probe,2,Blattodea,0.8,0.5714,0.6667,7,False
lora_linear_probe,2,Coleoptera,0.8961,0.9055,0.9008,381,True
lora_linear_probe,2,Diptera,0.9882,0.9928,0.9905,10637,True
lora_linear_probe,2,Hemiptera,0.9184,0.8721,0.8946,258,True
lora_linear_probe,2,Hymenoptera,0.9525,0.9396,0.946,1109,True
lora_linear_probe,2,Ixodida,0.0,0.0,0.0,0,False
lora_linear_probe,2,Lepidoptera,0.9879,0.9811,0.9845,582,True
lora_linear_probe,2,Mecoptera,1.0,0.0909,0.1667,11,False
lora_linear_probe,2,Neuroptera,0.6571,0.5897,0.6216,39,True
lora_linear_probe,2,Orthoptera,1.0,1.0,1.0,3,False
lora_linear_probe,2,Plecoptera,0.9375,0.8333,0.8824,18,True
lora_linear_probe,2,Raphidioptera,0.0,0.0,0.0,0,False
lora_linear_probe,2,Trichoptera,1.0,0.8214,0.902,28,True
